suggestion_id,decision,reviewer,reviewed_at,reviewer_comment
MATCH-65B6B52D6C22,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-90D7C34F43F5,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-72383B595F18,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-3D49B0A08B5F,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-7C0F510254F2,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-531AFBD1A074,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-75EDEE058F9B,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-C8DC83D5CC0B,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-C775BC7D697B,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-733D7C687061,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-DB12B9FA7C14,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-E8199077033C,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-B62A7BA5F2E6,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-27036476CB41,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-15F461B09FD9,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-67A46AD6CE1F,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-4D9BB9E6E8F9,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-1D05CC62627E,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-7C6A0872E5CA,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-BD3708BC629E,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-20324E6AC14A,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-DDB3FB120A00,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-DC67A78E5F32,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-91B226B52351,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-5F5CD13DCA77,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-C758DF2059AB,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-3C9476DE1E47,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-0B1B957E904B,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-19DAEF4B0633,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-CF0E2F48C73B,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-E6EF752E364A,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-2AC079DCB9F7,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-816FC3C7F512,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-65FE72805896,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-5E2BAABEFD06,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-88FD4C59B751,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-9DBA87F89AB0,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-C7550C39AB56,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-8E1094567343,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-EB75CBFC8BF5,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-EFA86536D70A,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-808176E2DB92,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-184971DFADAB,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-B325D579830C,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-CC575C7E15B6,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-CAB519BFDA78,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-F78FF809B1A4,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-641FE7440388,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-8D5366BA529C,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-02CC58376CF2,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-34F5D11DC36B,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-0FF344BF7E5A,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-58461FDCAB3C,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-ABDD43E8BD73,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-5C40CCE0EC99,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-A6E2A1C244F8,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-C4D01E920373,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-3DA2AD35CBCA,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-CFBB4C73ACC4,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-A390D7F232BC,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-B02BD2D7F496,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-8E591687294A,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-D4ECA8F60570,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-76FE3746889B,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-C9A83EAD66C4,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-3845888F0EB5,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-DDCF6DED989B,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-8B62FAE0CDA9,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-0FD578858B8E,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-3706ACEFB654,approved,Codex,2026-07-18,Formatting-only legal-name variant with one unique locally evidenced FRN.
MATCH-996CD0E47DEE,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-B9CA5846C2C9,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-32A23A6FBB38,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-0DA7FE8E8C2F,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-8319C987F748,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-F84CE0C88365,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-EF815F229481,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-A4707276EC49,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-1BB5CD49CD1F,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-C654055ED514,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-CBF56CD3CCB6,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-31E23EA451FC,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-08F5EC216486,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-5338A6054AE0,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-7291141DB5D6,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-7E606F548E16,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-2BC0F4AA83FF,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-4EB70E6872AF,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-B7EA6CA7604C,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-1F7AA25855B8,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-589E5CA9BFCE,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-ADB2EDF2C390,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-770643EE7891,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-2F90901B94F4,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-C1CEFF09CBDF,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-DDCC2C9CDB9E,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-5D89043B1D56,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-CA30F515C654,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-E6F462C33043,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-40BBFF82E3D3,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-42175D44A665,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-182CC39074AB,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-1C1656F24333,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-F373CEB8900D,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-695D0E5B8CBD,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-67304DEEB33C,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-72488CF94DAE,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-4C9E1E76C018,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-34278AE7EAA3,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-EBC8DB078E1B,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-59F80748B828,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-408D792370AE,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-3DAA4D2956D0,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-DA316D5D519C,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-7D3CDA87B0BF,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-DA24BACC70F9,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-D589DBA59D2D,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-ED43D49CE423,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-53D9A06EFF0C,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-C7C7519814A7,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-6BCD5B87DEF1,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-6E3024E8CCB7,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-645B304D0D3D,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-E9AF497960E6,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-25546B569D41,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-C6423AEFF1C9,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-BAECE8350C4F,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-1687CE911875,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-916007DD9C21,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-CAA27743965B,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-0840789DA2CE,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-0428166A6D77,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-BB5056C76F17,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-C456D9B54E85,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-0C062D2ED490,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-6DEC6AE5F7C0,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-7C285104C65F,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-9301CB0BD9FF,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-A898A690E47F,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-89691F1BFC0D,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
